// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Roll	Pitch	Yaw
00001	15681862	0.099959	0.143069	-9.818074				-0.005393	-0.000541	0.001090				179.244414	-0.525226	-18.521473
00002	15681912	0.112193	0.117536	-9.817171				-0.004463	0.002640	0.000591				179.243137	-0.525984	-18.521630
00003	15681962	0.095036	0.138958	-9.782099				-0.007118	0.000070	-0.001179				179.243254	-0.525668	-18.521918
00004	15682012	0.114088	0.119955	-9.817181				-0.004804	0.001016	-0.001150				179.241874	-0.525955	-18.521590
00005	15682062	0.094302	0.115115	-9.829782				-0.003331	-0.006262	-0.000484				179.243077	-0.523828	-18.522047
00006	15682112	0.100218	0.119297	-9.845388				-0.005918	0.000733	-0.002756				179.241375	-0.524027	-18.521255
00007	15682162	0.093513	0.117166	-9.829776				-0.001974	0.001675	-0.001988				179.242963	-0.524167	-18.521264
00008	15682212	0.080216	0.131016	-9.821093				-0.006795	0.001074	-0.003612				179.241007	-0.524461	-18.520222
00009	15682262	0.109177	0.119158	-9.821711				-0.002504	0.002281	-0.002914				179.242441	-0.524771	-18.520013
00010	15682312	0.116198	0.113730	-9.828221				-0.003867	0.003009	0.001261				179.241337	-0.525638	-18.520360
00011	15682362	0.117221	0.117618	-9.821989				-0.001918	0.000703	-0.003116				179.242939	-0.525496	-18.520058
00012	15682412	0.093826	0.133914	-9.828345				-0.005659	0.003777	-0.002958				179.241309	-0.526566	-18.519194
00013	15682462	0.114506	0.111484	-9.818379				-0.004841	0.004215	-0.001104				179.242079	-0.527437	-18.519475
00014	15682512	0.103366	0.109124	-9.823357				-0.000016	0.004719	-0.001427				179.242070	-0.528784	-18.519050
00015	15682562	0.107889	0.129951	-9.827695				-0.003193	0.002150	0.002735				179.243321	-0.529078	-18.520409
00016	15682612	0.123750	0.139850	-9.839281				-0.005131	0.001268	-0.001919				179.241846	-0.529434	-18.519856
00017	15682662	0.117193	0.120019	-9.806890				-0.004628	0.003638	-0.000913				179.242677	-0.530141	-18.520168
00018	15682712	0.116851	0.129315	-9.817441				0.000359	0.002015	0.000221				179.242781	-0.530719	-18.520220
00019	15682762	0.109839	0.143767	-9.830347				-0.003526	0.001365	0.000232				179.243930	-0.530779	-18.520885
00020	15682812	0.114242	0.113959	-9.828446				-0.004380	0.001837	0.000457				179.242677	-0.531307	-18.521010
00021	15682862	0.099094	0.120100	-9.820704				-0.005113	0.000587	-0.001888				179.243366	-0.531136	-18.521062
00022	15682912	0.095991	0.122776	-9.831713				-0.004971	-0.000957	-0.002250				179.241936	-0.530853	-18.520420
00023	15682962	0.100453	0.140434	-9.824067				-0.003269	-0.001833	0.000020				179.243159	-0.529996	-18.521027
00024	15683012	0.089084	0.123106	-9.825207				-0.004255	0.000062	0.002468				179.241947	-0.530024	-18.521735
00025	15683062	0.097818	0.108965	-9.841298				-0.004247	-0.002660	-0.000719				179.242888	-0.528927	-18.522153
00026	15683112	0.102848	0.114577	-9.834860				-0.003675	0.000579	-0.002245				179.241829	-0.529085	-18.521510
00027	15683162	0.086256	0.130422	-9.807693				-0.006266	0.000605	-0.000858				179.242192	-0.528923	-18.521854
00028	15683212	0.097954	0.116620	-9.825251				-0.008241	-0.000887	-0.001824				179.239826	-0.528661	-18.521333
00029	15683262	0.101675	0.127103	-9.828380				-0.003254	0.001526	-0.001405				179.241050	-0.528761	-18.521525
00030	15683312	0.088512	0.112744	-9.836942				-0.003362	-0.002125	-0.000944				179.240085	-0.528149	-18.521261
00031	15683362	0.091513	0.107766	-9.831917				-0.002570	0.002479	-0.000476				179.241506	-0.528525	-18.521674
00032	15683412	0.096501	0.119284	-9.820211				-0.003646	0.001810	-0.002076				179.240456	-0.529036	-18.521071
00033	15683462	0.112596	0.123031	-9.818370				-0.004306	0.000475	-0.000094				179.241383	-0.528839	-18.521662
00034	15683512	0.104525	0.128898	-9.839662				-0.003485	-0.001287	-0.001036				179.240382	-0.528467	-18.521369
00035	15683562	0.118111	0.129412	-9.827745				-0.003392	0.001814	-0.002372				179.241564	-0.528645	-18.521272
00036	15683612	0.124153	0.124741	-9.816279				-0.001980	0.004909	-0.002489				179.240990	-0.530042	-18.520537
00037	15683662	0.118837	0.105263	-9.826792				-0.006074	-0.000328	0.000898				179.241412	-0.529620	-18.521402
00038	15683712	0.095749	0.121008	-9.808463				-0.003460	0.002374	0.001805				179.240426	-0.530307	-18.521910
00039	15683762	0.108525	0.127906	-9.823866				0.001604	0.001062	-0.000238				179.243045	-0.530278	-18.522426
00040	15683812	0.122824	0.132256	-9.829934				-0.001264	0.001199	-0.004461				179.242671	-0.530604	-18.521143
00041	15683862	0.132243	0.112036	-9.811759				-0.004714	0.002179	-0.001784				179.243476	-0.530889	-18.521177
00042	15683912	0.125427	0.126933	-9.812925				-0.007232	0.001812	-0.001433				179.241400	-0.531403	-18.520757
00043	15683962	0.106382	0.130405	-9.826968				-0.003034	0.000624	-0.002279				179.242685	-0.531241	-18.520681
00044	15684012	0.099615	0.114629	-9.821422				-0.004349	-0.000504	-0.004364				179.241427	-0.531080	-18.519435
00045	15684062	0.103733	0.109436	-9.813293				0.000437	0.001296	-0.003055				179.243705	-0.531108	-18.519124
00046	15684112	0.119164	0.117656	-9.833746				-0.004869	-0.001185	-0.001932				179.242305	-0.530761	-18.518578
